"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"asRNA:CR46054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46057",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"lncRNA:CR46056",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"asRNA:CR46055",1,0,1,2,2,0,1,3,1,0,1,2,0,2,0
"lncRNA:CR46046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:Hsromega",13712,14051,15548,4407,12238,9576,9220,11832,1534,8943,12031,5280,8377,7604,4602
"asRNA:CR45798",1,2,2,0,1,0,0,1,0,2,2,0,0,1,1
"asRNA:CR46045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46043",0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
"lncRNA:CR46042",0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46040",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"lncRNA:CR46039",5,0,0,0,0,0,1,0,2,3,1,1,0,0,2
"lncRNA:CR46041",2,7,9,1,3,4,0,4,0,1,0,1,0,0,1
"lncRNA:CR46265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46035",214,140,128,53,88,140,112,198,38,137,131,122,108,101,118
"lncRNA:CR46036",17,10,9,3,12,19,8,5,6,10,13,6,11,6,11
"lncRNA:CR45223",45,20,37,3,27,28,69,105,4,48,103,9,38,61,21
"asRNA:CR46029",4,0,0,0,0,0,1,1,0,0,2,0,0,0,0
"lncRNA:CR46023",1,0,0,0,0,0,0,1,0,0,1,1,2,2,0
"lncRNA:CR46028",0,0,0,0,0,0,0,0,0,1,0,6,0,1,1
"lncRNA:CR46022",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"asRNA:CR45891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46021",0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
"lncRNA:CR45911",6,3,10,0,0,4,0,7,0,3,3,1,0,3,0
"asRNA:CR46020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46239",23,6,11,18,26,15,11,10,6,60,36,86,8,7,9
"asRNA:CR46058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45914",1,6,17,4,5,3,0,1,2,3,5,4,1,0,2
"asRNA:CR46081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46217",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46238",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46017",0,0,4,0,0,0,0,2,0,0,0,0,0,0,0
"lncRNA:CR46016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46015",11,2,12,10,24,6,6,2,0,3,18,4,2,3,1
"lncRNA:CR46014",2,3,1,5,4,3,7,4,0,9,8,3,1,0,4
"lncRNA:CR46013",0,0,6,3,6,0,0,0,0,2,4,4,0,1,0
"lncRNA:CR46203",0,0,1,0,1,1,1,1,1,3,1,3,2,0,1
"asRNA:CR46012",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"lncRNA:CR46011",0,0,0,0,0,0,0,1,0,0,3,0,1,0,0
"lncRNA:CR46010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43459",360,266,295,102,210,190,222,265,45,247,305,129,140,175,146
"lncRNA:CR45790",2,0,2,6,4,4,1,2,1,2,15,11,0,1,4
"asRNA:CR46144",2,6,3,1,5,2,0,2,0,1,0,1,0,3,0
"asRNA:CR46145",9,7,11,1,3,2,4,6,3,3,1,0,7,5,5
"lncRNA:CR46124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46228",0,0,0,0,0,1,0,0,0,1,2,0,3,0,0
"lncRNA:CR46125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46142",0,0,0,0,0,0,0,0,0,0,1,4,0,2,0
"lncRNA:CR46143",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"lncRNA:CR46127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"lncRNA:CR46226",13,7,18,2,9,0,2,0,0,0,0,0,0,0,0
"lncRNA:CR46225",3,15,31,2,25,11,1,1,0,0,0,0,0,0,0
"asRNA:CR46129",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46128",68,93,50,18,70,82,50,90,13,58,65,46,39,82,28
"lncRNA:CR46224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45906",0,0,0,0,0,1,0,2,0,0,0,0,0,2,0
"asRNA:CR45907",8,2,5,6,11,8,8,6,0,7,8,4,9,5,3
