"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"Hug",1,0,2,8,2,0,1,2,0,0,3,0,0,0,0
"Blm",112,60,102,25,73,91,201,264,86,272,257,198,241,175,370
"Prosalpha2",7648,6967,6919,2985,5916,8443,5549,10574,3269,9879,7622,9575,7136,6213,4705
"mRpL40",275,272,315,160,287,273,223,465,133,249,260,246,252,256,267
"Scgbeta",176,117,144,34,55,91,93,145,22,88,100,62,88,95,85
"GstD1",29241,20501,29256,19224,34274,24812,16095,24763,3778,27026,27143,17926,16948,15506,12794
"Ugt35B1",4,0,8,4,10,8,106,84,16,19,241,111,220,103,74
"Ugt35A1",276,183,263,92,170,197,369,491,179,177,302,768,259,277,343
"Sodh-2",75,49,46,42,59,64,26,49,17,101,65,39,58,56,48
"Fdh",4669,4327,3884,2167,3830,5198,5982,10790,3109,7462,7384,6861,6065,6386,5709
"Tsp86D",2700,1572,2225,1153,2032,1582,878,1121,181,1234,1289,741,1031,901,662
"Mcm5",71,78,111,43,90,103,81,121,29,48,61,110,115,72,632
"mRpL37",1778,1577,1816,513,906,1305,357,646,191,433,424,494,428,391,503
"TfIIFbeta",236,198,241,113,203,222,266,338,90,293,277,217,274,209,234
"Irp-1B",13248,12849,11518,6144,11828,16313,20695,36414,10399,25014,27284,20163,27945,26311,12977
"TkR86C",5,0,1,7,4,1,2,3,3,5,4,4,6,0,0
"jumu",105,67,69,15,60,65,51,110,16,25,62,51,71,83,494
"nerfin-2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"MtnA",12770,14800,21525,11180,20992,18436,15062,16108,3071,7683,11896,7145,10852,8706,14885
"Snap24",2558,1903,2508,878,2020,1665,1323,2050,329,1239,1564,1164,1544,1626,946
"alphaTub85E",23,4,25,1,5,9,0,0,0,0,0,1,1,1,0
"hyd",5673,4843,6128,2030,5506,5116,6613,8736,1998,6807,7666,6180,8105,6376,5811
"dmt",452,316,331,171,320,361,408,564,126,458,485,429,537,444,678
"Fst",16,24,19,20,11,5,9,0,645,70,52,3287,6,32,68
"Calr",13431,10845,13703,6703,12651,12265,14058,18332,3261,14125,12443,12121,11116,11684,12860
"RhoL",4480,3360,3826,924,1906,2681,2290,4172,916,1924,1826,2235,2542,2994,1230
"alpha-Man-IIa",644,494,580,310,637,529,747,924,232,728,817,547,695,693,646
"betaTub85D",0,15,7,0,1,1,4,1,0,0,1,0,0,6,2
"Or85f",14,4,5,2,12,4,13,9,4,7,5,4,7,3,4
"mRpL19",381,307,388,119,322,360,355,577,115,421,375,460,516,339,437
"pch2",269,168,273,136,319,227,138,199,34,256,184,198,192,126,336
"Or85d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Or85c",0,0,0,0,0,0,3,0,0,1,4,3,2,0,0
"Or85b",2,2,0,0,1,0,3,3,0,1,0,0,4,0,2
"Or85a",1,0,2,0,1,0,4,6,0,1,0,1,6,0,0
"mRpL1",473,368,410,162,374,356,427,679,169,415,405,517,409,377,560
"puc",9524,7611,9594,2061,6051,7068,5293,9774,970,3607,5996,3409,5926,5079,2076
"RpA-70",2154,1366,1622,1364,2123,2319,1751,2530,641,4051,3713,3176,2348,1899,2023
"Prat",206,222,241,91,192,198,255,450,128,320,319,357,276,228,543
"mRpS9",1448,1294,1263,512,1009,1209,1226,1966,468,1154,1120,1062,1525,1223,1180
"alpha-Est1",1046,1040,1178,362,1050,1312,1105,1277,326,840,1049,612,1314,978,1424
"alpha-Est2",530,660,814,394,1066,1315,1409,1587,587,406,1070,501,1067,1151,2428
"alpha-Est3",0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
"alpha-Est4",239,204,177,74,260,223,188,404,92,211,323,153,169,289,76
"alpha-Est5",806,650,643,346,849,935,705,1229,558,1457,1031,2370,839,770,786
"alphaTub84D",1449,1113,1285,486,993,1309,1383,2159,464,1862,1949,1624,1771,1511,1698
"Rtnl2",3,0,3,2,0,1,2,2,1,4,6,0,1,2,0
"alpha-Est6",0,0,1,0,0,2,0,3,1,8,12,0,0,1,3
"alpha-Est7",2948,2745,3440,1919,4138,3561,4379,5721,1252,3816,4922,2406,3537,2963,4972
"Ubc84D",13,9,19,5,10,12,10,17,3,12,19,10,19,14,21
"alpha-Est8",726,679,680,352,711,1002,773,663,492,435,848,782,928,1723,1731
"Rok",3136,2502,2911,757,2244,2097,2618,3651,837,2263,2545,2459,3056,3081,2284
"rib",1,0,0,0,1,5,0,0,0,0,0,0,0,2,0
"rhi",10,5,13,11,38,19,8,5,4,18,24,9,3,7,167
"alpha-Est10",3203,3015,3251,814,2221,2685,1629,3457,931,2068,1769,3634,1486,1537,1603
"or",320,266,323,188,399,365,273,482,110,424,392,401,393,327,315
"Mst84Da",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"robo2",1125,888,1128,402,799,644,815,819,167,255,521,319,603,565,442
"Mst84Db",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"l(2)37Bb",675,661,701,357,511,605,926,1445,344,1078,1025,1068,987,847,822
"Mst84Dc",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Mst84Dd",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"lap",14281,9464,14030,7211,14705,9493,10603,11244,2180,13924,13402,7363,10080,7847,9055
"cype",5148,4360,4374,2314,3785,4576,4711,7805,1890,5151,4913,4964,5600,5075,4705
"cv",365,320,366,180,396,351,368,436,105,397,386,262,411,313,329
"Scr",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"clt",821,806,770,406,708,872,941,1499,386,1149,1140,944,927,821,908
"Edg84A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bel",4717,4607,5149,1830,4131,4373,4890,6982,2357,5752,5822,6458,5710,4906,6324
"TfIIFalpha",670,500,607,250,495,542,544,931,207,632,725,618,682,568,835
"TotZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPFR",8,13,4,6,1,8,2,14,2,2,5,10,14,5,4
"TotF",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TotX",36,442,83,78,200,239,36,47,16,60,71,46,75,47,38
"Or83c",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TotC",444,1696,488,383,421,591,558,411,113,798,380,366,2653,1296,517
"Obp83b",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TotA",2672,5140,2258,1415,2511,2156,1110,1001,425,2298,1375,1469,3906,2124,1263
"Obp83a",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Spn",524,448,461,207,524,524,778,1155,426,848,717,1402,804,798,1224
"Atu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"modSP",2671,2481,2699,1190,2439,2321,2454,3125,833,2358,2425,1654,2510,2756,2574
"Ocho",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Irbp",551,406,423,366,482,536,402,528,106,792,687,499,514,350,425
"ksr",752,516,696,293,599,604,714,967,268,1032,846,801,796,635,717
"Ms",7638,687,2468,2136,9687,17,4097,2881,740,1958,2512,1747,9286,4006,6115
"Orco",1,0,0,1,2,2,0,0,0,0,3,2,0,0,1
"Zip89B",69,46,49,132,226,175,37,72,29,108,451,112,47,29,237
"Or83a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcmt",1499,1114,1244,664,1102,1291,985,1468,359,1114,1106,847,1101,921,939
"corto",1435,1009,1226,471,1003,1245,859,1133,418,1754,1009,1140,1224,806,1279
"hkb",0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"mtSSB",10,3,6,12,9,9,15,16,1,9,9,8,6,8,15
"Ubc6",3890,2909,3580,1497,3313,3337,2245,3457,894,3964,3319,3272,3163,2886,2335
"abs",328,276,290,91,155,289,329,415,102,281,237,317,273,248,325
"alpha-Cat",1958,1446,1845,998,1996,1727,1598,2248,498,2632,2375,1956,1883,1742,2130
"E(spl)m7-HLH",0,0,0,0,0,0,0,5,3,0,1,4,0,0,2
"Gnf1",575,465,535,208,438,397,574,785,209,550,601,590,499,507,971
"nrm",4036,3225,3393,1019,1917,2855,2672,3657,805,1986,2471,1892,2919,2824,2483
"opa",8,0,5,3,8,0,7,6,1,6,3,5,20,2,3
"NPF",0,0,2,0,0,0,0,0,2,0,0,12,0,0,13
"Nep2",149,177,106,372,481,880,89,127,29,404,893,912,94,83,97
"Trxr-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nonA-l",229,95,161,146,266,219,187,167,67,399,358,281,160,140,333
"Su(fu)",512,378,410,230,492,544,472,792,157,791,639,568,565,500,528
"Karybeta3",14482,13882,15768,5021,12973,11608,14715,20203,4004,14519,15113,9356,17554,14386,14194
"Ten-m",12894,10308,12070,2461,6759,8133,13817,21639,5061,10208,9038,10871,21053,24119,16198
"rpk",3,4,0,5,25,11,0,5,0,1,0,5,1,3,141
"Hem",1223,896,1227,545,1098,911,1244,1662,373,1521,1506,1294,1361,1187,1212
"Dlip2",176,153,146,62,150,160,156,284,65,344,238,239,144,124,164
"Ddx1",483,399,510,203,380,404,644,948,193,575,595,480,589,527,534
"DNApol-alpha180",71,40,59,57,74,108,57,73,16,95,56,126,40,53,406
"RpLP0",35166,34465,37322,14907,29276,28650,41616,60121,13717,41395,44094,31311,46102,38172,42517
"Cdk8",99,58,60,46,82,104,77,84,33,90,81,109,63,44,100
"Act79B",93,78,111,15,69,94,59,74,13,57,40,61,86,64,35
"Acf",395,354,513,115,312,359,311,405,84,341,327,239,343,288,607
"Chs2",9,34,18,32,74,106,27,43,198,43,23,447,38,39,69
"128up",658,589,723,259,580,610,616,910,237,786,781,643,963,702,941
"Glut3",6,4,15,12,2,5,20,52,2,9,18,16,28,34,2
"CycH",204,182,207,97,200,238,144,214,59,199,207,160,186,120,199
"Cat",67527,70438,53674,39843,78198,98590,71292,136878,45450,177341,146791,132133,94682,90037,59465
"Rpn10",5444,5627,5346,2132,4155,6069,4747,8877,2646,7362,6311,7264,5600,5020,4040
"croc",2,0,5,0,2,1,0,0,1,0,0,0,0,0,1
"Pc",197,194,178,80,208,208,116,269,64,234,187,156,169,153,232
"Edg78E",5,0,3,1,7,4,2,1,0,2,5,2,1,3,0
"ppl",1839,1877,2433,990,2835,3382,2682,3197,774,1566,2808,1503,2429,2056,3081
"Ac78C",753,479,681,222,331,277,304,498,68,187,239,223,499,365,181
"ko",418,398,293,95,182,301,354,550,144,236,278,254,292,329,250
"Sin",357,271,271,141,282,265,310,480,89,415,383,448,426,320,353
"fng",396,188,304,82,127,162,124,181,34,108,134,145,152,132,176
"CSN3",958,700,890,395,768,801,624,942,253,900,792,867,718,701,647
"Mst77F",0,2,8,6,6,16,7,0,1,32,33,22,4,10,1
"kni",34,26,32,15,28,48,35,68,16,23,49,50,29,17,31
"mRpL15",382,327,326,133,316,281,283,432,113,294,272,319,257,255,403
"Las",782,645,671,284,533,630,629,994,207,697,730,582,657,575,589
"Ide",1914,1496,1661,834,1542,1799,2025,3135,891,2703,2599,2492,2296,1954,1692
"alphaSnap",3032,2358,2799,1255,2453,2552,2260,3718,796,3732,3334,3193,3045,2523,1808
"polo",18,12,25,21,141,48,15,44,23,32,47,85,14,16,1212
"Clc",9123,5628,8436,4063,7734,6077,5223,7132,1559,7920,7371,5684,6150,5233,4611
"gig",1624,1339,1622,659,1622,1557,1528,2179,540,1913,1805,1747,1761,1461,1508
"sNPF-R",65,59,52,11,67,75,34,49,8,10,30,15,31,26,37
"fln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ac76E",5659,5752,5044,1564,4138,4898,4345,6160,2662,3727,4457,3821,5209,4848,3788
"Rab8",4822,3691,4532,1387,3900,3602,3275,4750,846,3374,3465,2836,4391,4260,2739
"trc",1624,1312,1574,789,1611,1606,1364,1919,515,2184,1899,1633,1622,1481,1579
"Deaf1",932,665,819,354,724,736,739,906,222,847,855,690,857,632,665
"cyc",880,715,830,497,1031,865,668,920,231,891,886,826,731,691,751
"Kap-alpha1",2242,1814,2124,862,1825,2004,1954,2558,621,2532,2279,1725,2256,1722,1803
"CG42637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asf1",494,358,524,220,490,559,288,527,113,537,478,448,317,288,503
"lush",25,32,37,29,53,47,58,72,18,20,69,12,28,29,70
"Taf6",755,632,698,247,532,531,430,756,179,602,527,494,620,540,559
"ash1",729,597,700,199,472,583,659,978,281,746,772,712,899,718,897
"Shal",692,503,712,348,770,530,542,608,132,647,704,419,464,423,395
"rept",290,229,284,130,355,258,322,518,126,422,408,304,401,293,585
"MESR6",361,322,316,166,394,436,422,509,108,528,531,448,479,397,346
"Acp76A",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"CSN1b",1019,773,1086,481,912,879,894,1442,333,1254,1256,988,1106,979,994
"Uggt",2598,1849,2541,1137,2561,2100,2992,3704,767,3033,3329,2382,2362,2325,2390
"RpS14b",6332,5378,6439,3390,5841,5207,5094,7762,1716,5209,5595,4392,5850,4793,5164
"Amy-p",495,299,585,1490,1917,339,940,646,2152,716,1817,3851,301,1051,489
"GNBP1",740,563,743,359,823,584,633,752,143,526,598,345,588,528,476
"not",461,276,402,179,373,416,316,457,140,400,396,359,366,335,382
"skl",1,0,2,0,1,3,0,1,0,0,1,0,0,0,1
"rpr",13,25,4,4,11,2,8,9,2,0,4,8,8,0,5
"grim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hid",72,98,160,51,331,201,150,178,90,288,341,280,185,158,321
"mus304",98,88,101,42,65,89,94,192,48,116,123,120,95,85,192
"mRpS26",590,441,456,234,464,542,316,588,159,465,383,441,425,352,449
"Or74a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TpnC73F",7151,4680,5187,3538,5556,6719,3199,4820,839,4456,3462,3174,3527,3021,2546
"Grd",44,79,34,30,78,99,110,169,59,160,94,108,125,112,77
"a10",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"TSG101",6892,4886,6429,3275,6386,5137,3572,5071,914,6962,6276,4015,4317,3354,2736
"Krn",119,147,110,56,136,119,79,110,32,80,105,183,98,85,139
"Dab",2550,2057,2223,569,1363,1766,1711,2371,588,1324,1744,1278,2076,1991,1903
"Galphaf",18,15,26,8,23,20,17,21,30,16,14,168,15,17,21
"Mo25",2707,2056,2431,1256,2527,2248,1817,2564,655,3154,3157,2223,2099,1894,1783
"frc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Su(P)",876,694,864,421,721,705,726,1101,245,1045,963,785,777,662,723
"Prosbeta6",8246,8331,7866,3470,6834,9502,7000,12811,3769,10756,10044,10359,8548,7386,5374
"tap",0,0,0,0,0,0,2,0,0,3,1,4,0,1,0
"tra",528,398,427,187,355,463,329,511,83,405,419,246,362,292,288
"Syx8",1146,811,1092,651,1350,1022,723,1034,181,923,989,629,790,677,457
"Smn",136,91,113,102,158,195,123,144,48,239,197,170,201,106,305
"st",0,0,0,0,1,1,0,0,25,2,162,130,4,0,52
"aos",227,183,208,99,153,236,106,150,51,186,249,115,161,124,136
"NitFhit",493,564,590,308,744,726,644,950,226,728,628,537,751,553,719
"Nop60B",1312,1079,1200,328,1193,782,1040,1282,274,1357,1096,1074,1733,1134,3359
"SsRbeta",2356,2217,1905,951,1892,2327,3325,5088,1121,2381,3859,2939,2743,3288,2375
"mRpS34",250,246,237,141,261,257,237,419,109,338,319,349,285,245,274
"mRpS17",382,304,340,168,356,375,282,558,112,424,328,406,386,301,336
"Mgat1",522,364,466,240,377,376,444,625,202,751,580,533,419,362,359
"NaPi-T",25,37,32,29,46,30,28,41,92,206,887,634,14,32,231
"mRpS31",433,363,434,187,294,375,348,499,121,353,409,336,311,265,440
"DNApol-delta",140,152,154,59,123,121,127,197,45,1318,1830,2022,158,135,348
"GstD7",27,5,86,7,14,19,7,1,1,6,11,6,4,5,9
"Arl1",991,785,1021,443,843,869,618,953,237,863,817,898,703,610,587
"epsilonTry",2,2,2,5,11,5,1,9,3456,0,4,18510,11,0,736
"CkIIalpha-i1",144,137,101,27,52,95,72,104,24,113,118,88,109,67,90
"RnrS",413,183,253,277,589,389,273,386,92,433,393,656,183,219,1068
"comm",218,105,164,52,91,52,91,96,35,168,122,81,115,58,122
"Eig71Eg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eig71Ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gapdh1",15294,13368,14099,5941,10257,13401,17162,26159,5889,12712,16918,10138,14234,13892,16247
"Eig71Ee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zip42C.1",0,0,0,0,1,0,0,0,0,1,0,4,2,0,4
"Eig71Ed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dpit47",364,338,342,139,285,270,314,513,108,415,327,392,322,293,426
"Eig71Ec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eig71Eb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eig71Ea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr33a",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"mex1",1,6,9,10,4,9,6,6,263,12,7,1731,35,2,72
"Samuel",813,823,806,241,565,595,967,1363,340,834,898,774,1133,962,677
"betaggt-I",1720,1275,1636,552,1079,1138,816,1473,249,948,911,1032,931,851,591
"Z600",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"nAChRbeta3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ran-like",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fliI",1544,1184,1686,464,1062,975,1071,1703,375,958,1081,1001,1107,996,939
"Toll-6",4,3,4,0,4,1,10,11,3,8,3,2,13,22,7
"Tak1",3577,2632,3162,1149,2613,2947,1471,2254,461,1773,2125,1498,1717,1469,1477
"upd1",5,1,5,1,11,1,2,5,0,5,5,5,1,0,11
"Pdi",10137,10236,10421,5467,12000,13499,18633,21770,3862,13925,18429,12149,12973,16683,12605
"Hesr",0,0,0,0,0,1,0,1,0,0,0,0,0,0,10
"Or71a",24,34,21,7,34,15,16,14,2,21,24,4,14,15,12
"Prosalpha4",5962,6353,6338,2674,4822,7145,5690,10408,3320,9417,8264,9426,6720,6011,4865
"Prosbeta2",7468,8299,7052,3435,6655,8846,6686,12153,3808,12278,10436,11401,8743,7583,5302
"mRpL39",621,517,556,284,478,611,539,853,227,631,627,648,629,518,633
"Tom",3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"BobA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stwl",279,222,260,85,242,224,321,397,90,378,308,274,303,261,393
"D",0,0,0,0,1,0,0,10,0,0,0,2,0,0,0
"Hexo2",10961,7675,9150,6144,10136,8541,9832,16120,3227,11602,9690,10253,12426,12685,9096
"nAChRalpha3",33,10,53,36,50,88,15,24,0,108,50,72,31,38,21
"Meics",219,208,214,99,221,231,172,251,58,251,182,173,254,178,222
"DCTN1-p150",2879,2067,2907,942,1987,2143,2397,3512,768,2524,2643,2427,2469,2174,1999
"Hml",35595,31552,35354,5682,14651,12288,25779,45403,14877,11511,10385,13828,39326,45728,51338
"Pp2C1",1272,1058,1191,370,970,1052,1070,1713,389,889,982,732,1073,1129,1087
"mRpL30",429,326,379,250,435,473,410,569,166,579,518,466,445,364,483
"SP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"pon",9,2,11,6,20,18,12,5,4,17,17,26,8,3,74
"rb",1122,891,1131,419,1051,991,1222,1654,390,1423,1480,1072,1256,1192,1343
"trn",42,34,20,17,12,16,28,33,20,22,10,68,17,20,62
"bi",0,2,2,0,4,3,4,5,0,4,19,9,4,7,6
"Syx13",3719,2110,3212,1276,2500,2110,1481,2094,419,1690,1579,1526,1586,1549,1021
"mei-9",132,80,99,40,150,133,151,272,34,170,162,166,165,143,255
"Femcoat",0,0,0,1,2,3,0,0,5,0,0,0,0,0,14
"mRpL20",310,220,247,126,205,220,302,396,95,326,230,300,274,188,241
"Klc",5019,3614,4463,1820,3579,3684,2867,4361,952,3521,3595,2898,3310,2871,2284
"lva",3734,3528,3622,1567,3656,3699,5489,6986,1665,5494,6377,4356,5245,5738,4629
"Myc",2996,2580,3118,714,2406,1647,3385,3983,627,2090,2148,1763,2806,2970,2307
"caup",3,1,7,4,5,8,0,21,3,9,0,8,3,6,6
"ara",13,1,0,4,3,5,4,2,2,1,1,2,3,2,3
"ng3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tsf2",362,297,348,175,338,490,363,497,132,481,348,353,320,337,480
"eIF2beta",2918,2179,2652,1144,2742,2713,2463,3854,940,3717,3343,3349,3066,2675,3061
"rst",104,71,64,25,155,41,86,124,30,59,75,59,131,91,178
"eyg",8,4,6,2,2,7,8,9,2,7,6,8,1,4,4
"Syx4",602,543,593,256,752,713,459,706,216,561,642,787,617,530,473
"toe",10,23,34,9,12,22,19,31,5,13,17,11,3,13,15
"per",1667,1526,1760,393,809,1298,813,1438,502,525,941,1345,995,782,1226
"ArfGAP1",1120,916,1064,487,891,1041,1206,1542,395,1229,1353,1121,1176,1139,980
"HLH3B",4,0,1,1,4,0,2,0,1,6,6,0,3,1,0
"Obp69a",0,0,2,0,1,0,0,1,0,0,0,0,0,2,0
"Tsp3A",544,488,587,201,385,499,381,527,118,458,459,380,483,401,362
"Klp3A",147,73,141,38,216,96,53,79,16,68,66,78,52,44,306
"z",533,448,483,154,337,491,304,536,165,409,357,383,465,331,410
"Rh7",18,10,16,6,13,7,4,10,1,9,10,1,8,7,11
"tko",417,280,396,212,388,356,429,545,205,467,392,438,446,348,419
"yps",4217,3499,4632,1420,3546,3760,3584,4680,1043,3296,3218,2501,3687,3209,4611
"Ufd1-like",1848,1653,1850,819,1525,1845,1396,2503,581,2370,2047,2145,1717,1307,1247
"gt",21,3,6,3,12,14,11,19,4,15,20,15,13,16,15
"mRpL14",235,220,207,90,199,200,112,203,41,172,184,220,189,133,184
"Gr2a",2,3,3,2,1,0,0,0,0,0,0,0,0,0,0
"viaf",3490,2351,3267,793,1914,1512,1556,2580,351,1468,1718,1332,1875,1698,991
"mRpL2",452,381,408,152,310,311,364,629,169,356,408,326,475,389,468
"Raf",486,425,468,218,438,484,444,620,183,611,570,562,490,394,533
"Tsp2A",138,120,205,55,132,154,55,45,571,46,110,2812,45,47,144
"byn",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"E(z)",595,473,547,208,452,487,550,741,192,642,562,486,506,509,659
"Or2a",7,29,19,3,8,8,7,12,1,8,15,7,9,6,10
"Rbf",800,605,811,327,583,644,750,1049,240,872,934,707,807,705,1005
"CycA",42,41,40,55,382,115,44,113,43,74,47,236,97,93,3251
"hay",369,252,332,146,258,300,273,452,113,519,359,475,356,251,343
"pcx",2091,1615,2010,503,1375,1550,1855,2415,653,1749,2079,1652,2149,2015,1735
"fz3",2195,1242,1733,1037,1749,1191,825,1030,244,1590,1363,918,985,749,684
"Klp68D",1251,944,1108,342,885,682,558,860,173,564,774,540,630,571,442
"Gem3",151,110,118,38,77,94,113,169,34,168,158,130,94,98,349
"Cyp4ae1",0,1,3,0,4,2,4,3,4,9,0,5,7,0,6
"Or67c",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cyp4d2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"elav",483,520,588,147,456,354,454,499,148,521,421,445,564,537,427
"Gr68a",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dronc",2047,1513,2140,441,1146,974,1345,2053,253,454,1016,773,1570,1875,812
"TfIIEalpha",517,460,419,218,445,501,359,643,117,534,406,408,458,385,541
"CalpB",5138,4056,4404,1140,2646,4113,2056,4449,413,1928,2976,1691,2428,2296,1233
"mRpL16",445,423,351,157,299,370,377,590,130,442,397,459,380,340,410
"Cyp4g1",1940689,1973564,1650940,756237,1738951,2303633,2587454,5100618,1623257,3425038,3329128,3278509,3427639,2984052,1780215
"rt",3,5,1,7,27,8,5,15,5,7,10,9,5,5,75
"Pgcl",0,0,0,0,0,3,4,0,7,5,15,6,0,3,25
"Sgs3",6,1,0,0,0,1,0,3,0,0,0,0,0,0,0
"I-2",1699,1431,1919,719,1968,1559,1220,1679,344,1033,1279,972,1352,1078,1088
"Scgdelta",212,204,174,38,65,108,162,253,56,63,72,97,111,137,117
"Or1a",20,5,8,2,3,18,41,46,9,21,18,29,47,52,42
"Ilp2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ATPsynB",7881,6864,6965,2709,4688,5881,7326,11215,2934,5288,5884,4927,7568,6626,6463
"Ubc4",1476,1340,1228,568,1167,1224,1263,1931,486,1875,1715,1454,1480,1241,1425
"alphaTub67C",14,15,17,28,202,85,15,50,19,36,37,66,31,37,1534
"Or67b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LanB2",4983,3971,4478,1476,3082,3074,3773,5765,1302,3643,3689,3336,5800,6497,4881
"Adgf-A2",19,11,17,3,12,10,27,29,13,69,30,30,32,27,41
"Or67a",0,0,0,0,0,0,0,1,0,1,0,0,0,3,2
"Uch-L5",663,722,702,195,508,620,762,1484,412,972,975,1165,893,729,825
"RpS17",26480,22556,25253,9463,20274,20638,21461,31709,7202,21073,23618,17833,24687,21721,21558
"MESK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aay",5673,5744,5482,4917,12113,5318,8415,10171,3444,8695,8265,7357,7749,6715,4338
"Hsp27",2268,2989,3366,1942,3481,2995,3033,2952,87,422,3760,382,3977,2940,1412
"nol",14,15,21,13,7,13,22,29,1,23,33,14,11,20,11
"Hsp23",2017,2971,4376,3701,6866,3582,1532,1207,42,792,2797,350,1925,1133,239
"Hsp67Ba",0,0,0,5,9,2,1,5,0,0,3,2,3,0,3
"Or19a",1,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"Hsp26",9409,12599,14196,6354,12608,11949,9778,9803,566,1607,10168,1456,9025,7936,3641
"Dhap-at",1741,1387,1807,623,1728,1383,1258,1866,434,989,1270,1335,1368,1232,881
"Hsp67Bc",12,12,17,31,45,24,33,25,3,5,86,11,51,44,10
"Fdx1",173,133,169,87,162,164,126,194,47,239,215,229,167,174,142
"Ugt37B1",0,1,0,0,1,0,2,0,7,0,3,24,0,4,0
"Klp67A",18,23,14,29,68,85,22,23,6,13,21,38,21,18,216
"Ugt37C1",16,13,13,8,25,16,11,14,4,3,11,16,3,2,9
"Dlip1",41,35,43,21,41,34,45,72,23,77,35,56,54,34,69
"Dlip3",874,594,583,47,323,342,298,779,14,55,142,22,126,312,54
"Ilk",3755,2893,3343,1386,2609,2812,2023,3045,689,2585,2703,2093,2346,2117,1744
"GNBP3",1533,2301,2435,1159,2909,2294,3450,3291,858,1595,3521,1017,3228,2160,3409
"CG13465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcm7",2,1,3,1,3,10,3,10,0,5,4,11,7,3,62
"dally",3068,2534,2467,976,1927,2598,2108,2871,837,1889,2133,2351,2213,1875,1710
"pins",3286,2120,3101,784,1933,1892,1491,2472,423,1681,1749,1341,1732,1713,1034
"Kat60",1369,1098,1431,425,895,921,727,1126,332,1040,988,941,862,860,815
"Cp16",4,4,1,5,6,25,17,10,19,4,1,12,1,16,71
