"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"asRNA:CR46033",1.39722114071916,1.97435059411323,3.24069848446843,0.609236127203943,0.542367937194034,NA
"asRNA:CR45889",11.8083303936692,-0.470826744212832,0.637190233045252,-0.73891079899744,0.459961164441594,0.744359934886655
"lncRNA:CR46213",4.86746203731936,0.32563155627889,1.22088150026975,0.266718396672359,0.789685988387178,NA
"lncRNA:CR46031",3.52542785976473,1.5719953375807,1.16972506662787,1.3439015563824,0.17898022268162,NA
"lncRNA:CR46032",2.601838473337,1.91012418757926,1.51628229910348,1.25974179656957,0.207762522301109,NA
"lncRNA:CR43912",1.03585732133391,1.39660146765895,3.27090717658993,0.426976796423482,0.669396228401888,NA
"lncRNA:CR45824",1.31175264209922,1.36263347581526,1.96891873642919,0.692071973618634,0.488892131055986,NA
"lncRNA:CR45884",0.671635446145267,-0.690366356142906,2.32619860966695,-0.296778767416488,0.766635416691351,NA
"asRNA:CR45882",0.159423468156302,-1.60750297982926,4.06207420706485,-0.395734518348645,0.692300887989616,NA
"lncRNA:CR45881",15.6070326337058,0.212141011447823,0.655774002967937,0.323497135427303,0.7463187766058,0.89828806348762
"asRNA:CR46050",1.23929325591625,0.15170248741645,1.64449837269153,0.0922484874023682,0.926500614871105,NA
"lncRNA:CR46006",65.8788762986224,0.691901954057857,0.32537124122949,2.12650002945357,0.0334616468047963,0.170366664760198
"asRNA:CR45804",8.5148592519618,-1.58743862711265,0.712105829460643,-2.22921728967588,0.0257994506958197,0.142680567629984
"asRNA:CR46246",1.17247727720374,1.59424444561197,2.38256798261893,0.669128628119802,0.503413429460244,NA
"asRNA:CR45874",0.653898406138858,1.41279518275397,3.63682801326712,0.388469066340256,0.697668941621333,NA
"lncRNA:CR46003",4.19608847794757,-0.482449833634025,1.12585221012768,-0.428519684283705,0.668272805505732,NA
"asRNA:CR43481",4.64570802804603,-0.570266622737964,1.42529840082805,-0.400103320404106,0.689080418712562,NA
"asRNA:CR45870",8.17706210578658,0.82639516403939,0.746396795548381,1.10717941042637,0.268216367626463,0.576685623335009
"lncRNA:CR45866",1.63762777518864,3.87951966870599,2.10898864922467,1.83951661860874,0.0658392358590934,NA
"asRNA:CR45835",0.541544935950834,-0.350852878111182,2.46745595031314,-0.142192154663047,0.886928228497558,NA
"lncRNA:CR45833",3.70210679844778,0.833352484512959,1.03936779166909,0.801787866809594,0.422675678332349,NA
"asRNA:CR45832",0.790677172498065,-0.793021599573047,3.47534210005663,-0.22818519062055,0.819502273939538,NA
"lncRNA:CR45979",0.588289828720145,-3.00128638205378,3.54027175704058,-0.847755931754417,0.39657390996994,NA
"lncRNA:CR45985",4.43377680472232,2.55994345116109,1.12902682898793,2.26738938830696,0.0233664491670464,NA
"lncRNA:CR45820",0.891036344324141,1.91809399664937,3.41421312409466,0.561796796782563,0.574254474791898,NA
"lncRNA:CR43626",2.93827684954821,-0.00200550061585688,1.49899744430239,-0.00133789461982052,0.998932514857324,NA
"lncRNA:CR45819",1.63027447321285,0.513977948762965,1.85022626947841,0.277791942121683,0.781172077088666,NA
"lncRNA:CR45982",0.674855530286989,-1.97971040179794,2.68492822325782,-0.737342020784379,0.460914384405726,NA
"asRNA:CR45802",0.680336385157971,2.62542107132669,3.38641968880755,0.775279295712805,0.438174640848561,NA
"asRNA:CR45834",5.20060390058179,-0.335032017888767,0.966912789077278,-0.346496624797451,0.72896952032474,NA
"asRNA:CR45815",6.48280237785756,-0.948197663725974,0.897456399454377,-1.05653897426376,0.290722044492951,0.600522944796734
"asRNA:CR45813",18.3024388431277,0.49305904015546,0.545708374730968,0.903521116747632,0.366249386058514,0.671466380060109
"lncRNA:CR45811",20.1152268493988,0.599662537715582,0.549730796254259,1.09082944197696,0.275347938757697,0.583718326855638
"lncRNA:CR45808",0.567495257171498,0.811891396186436,2.88181216984441,0.281729463384933,0.778150960692028,NA
"lncRNA:CR46249",1.01281423913032,3.19018117380805,2.2834855247928,1.39706651921848,0.162393568793153,NA
"lncRNA:CR45805",27.4084870928729,0.209955525784526,0.467414565763706,0.449184816141706,0.653298339855049,0.862342803933185
"asRNA:CR45928",0.738455166967884,-0.0137405225982383,3.48703382221987,-0.00394046152081513,0.996855974726443,NA
"lncRNA:CR46271",4.54072760412835,1.63860889960807,1.40645628705405,1.16506208880497,0.24399386124684,NA
"lncRNA:CR45997",0.543878981887618,2.30185119097492,3.9758075597053,0.578964438395891,0.562613168642096,NA
"lncRNA:CR45232",6.13594171544484,-0.409537167959914,0.996892617632865,-0.41081372327981,0.681209129618536,0.873644001890357
"lncRNA:CR45994",3.43266390604024,1.22471853378657,1.12688319326479,1.08681941580683,0.277116625328446,NA
"lncRNA:CR45993",1.00709755645234,2.11049539095314,2.53574139586871,0.832299143119092,0.405240114166694,NA
"asRNA:CR42254",48.4423373543637,0.999583796702829,0.351897391281561,2.84055472267778,0.0045035145553269,0.0428441098201718
"lncRNA:CR42715",49.2796066004631,-1.10667762274465,0.534871781426814,-2.06905217506987,0.0385411908935086,0.18711482987118
"asRNA:CR44368",2.48068472996227,2.10940192483325,1.36202582921707,1.5487238784934,0.121448111175369,NA
"lncRNA:CR44206",9.88795399982588,0.612665022126968,0.760844591413935,0.805243316494379,0.420679284595112,0.714494520018122
"lncRNA:CR46194",101.733864930635,0.176358716920515,0.294436833606968,0.598969615180446,0.549193146836287,0.800253228564969
"lncRNA:CR46268",39.9702291662894,0.538058556244886,0.412385683514725,1.30474596416409,0.191979364469288,0.486099176594751
"asRNA:CR45924",16.867698913327,0.188760542448768,0.621901994106702,0.303521365484448,0.761492567654591,0.904729402068229
"lncRNA:CR46075",2.11061437088,-2.64067899901398,1.72632895495131,-1.52964994964616,0.126103398549774,NA
"lncRNA:CR46064",152.758401513019,0.774880349818384,0.233604225033624,3.31706479070253,0.000909685182822018,0.0136323972441664
"lncRNA:CR45923",2.09300913208924,1.81995824390424,1.46402871241277,1.24311649660538,0.213824907630599,NA
"asRNA:CR46066",2.17184781433884,-1.46372286852593,1.4717871691437,-0.99452074268153,0.319969412061067,NA
"lncRNA:CR46253",4.00265341553933,2.58968659686367,1.31363270785974,1.97139320707306,0.0486789174430326,NA
"lncRNA:CR45361",5.72583036256198,-0.279040201093913,0.845277490782511,-0.330116682553079,0.741311798321303,0.897741197832477
"lncRNA:CR46204",8.0960789394734,0.418044378765346,0.727805428873403,0.574390300182911,0.565703715288864,0.810309960727702
"asRNA:CR46256",0.750209895412713,-0.959984526061329,3.49652340733908,-0.274554011006005,0.783658902765584,NA
"lncRNA:CR46206",0,NA,NA,NA,NA,NA
"asRNA:CR45789",2.92962217646931,1.14699842192764,1.16935379627708,0.980882283513667,0.32665079504854,NA
"lncRNA:CR45949",13.4779086623987,0.668565113297272,0.540020566991648,1.2380363900244,0.215702567991616,0.516064889286525
"lncRNA:CR46208",1.14990585061417,-1.7031620903501,2.04328721856312,-0.833540226198742,0.404540120872098,NA
"lncRNA:CR46205",2.45587088103656,-0.285778006830334,1.59203831817247,-0.1795044777304,0.85754160171456,NA
"lncRNA:CR46210",0.95227587610178,3.11003873821522,3.06606640658601,1.0143416109758,0.310419775140046,NA
"snRNA:LU",84.6941128279621,-0.056891240918646,0.454634674725508,-0.125136167743903,0.900415750607972,0.964723908002852
"lncRNA:CR46259",5.12396300417866,0.030291997304684,1.06509942051311,0.0284405349597232,0.977310795042844,NA
"lncRNA:CR46258",1.41816974690308,-1.25570349011649,2.00943199486124,-0.624904696116974,0.532033609989358,NA
"asRNA:CR46263",5.21431486090474,0.777003672462938,0.941963533259519,0.824876595566536,0.40944165504328,NA
"lncRNA:CR46254",3.67841350584627,1.28681342607826,1.06126230884915,1.21253097876782,0.225309191573517,NA
"asRNA:CR45139",0.894333445783498,0.382430404725178,2.14546820116908,0.178250325274823,0.858526388652145,NA
"lncRNA:CR45181",0.654386063937308,1.41192673957837,2.81269738452034,0.501983166532204,0.615679362119048,NA
"lncRNA:CR45177",34.5371778791686,0.318279723008804,0.497831844955118,0.639331786895831,0.522607113987304,0.783725546250532
"asRNA:CR45182",1.97622678056427,2.74454024250117,2.02678128442331,1.35413735245838,0.175692561325411,NA
"lncRNA:CR45180",3.01355713207556,-0.459159648870884,1.10172383633878,-0.416764740605732,0.676850495013832,NA
"lncRNA:CR41257",5.39800071325225,1.03269754544934,1.25301213664587,0.824172021361041,0.409841822111167,0.704974081543478
"lncRNA:CR44268",16.4536839610338,0.151870969994397,0.558785653445511,0.271787525427595,0.785785397561297,0.914710356957866
"lncRNA:CR45557",3.06530982820041,0.298803729004822,1.20543725938157,0.247879951178977,0.804227292532893,NA
"lncRNA:CR45564",4.56159802622328,0.850649562157611,1.11638155036552,0.761970279676418,0.446077742512178,NA
"lncRNA:CR45553",8.42991822937481,-0.144663933540134,0.732873647443112,-0.19739273481158,0.843520214557933,0.943098594567809
"asRNA:CR45190",0.993702466599592,-2.58838709642698,2.45045622153114,-1.05628783476477,0.290836732168012,NA
"lncRNA:CR45552",2.49084269696792,-1.77677344250631,1.66426860350997,-1.06760016908273,0.285700907336714,NA
"lncRNA:CR45570",1.72255685745769,1.20682972078309,1.90689333918975,0.632877411641639,0.526813699675124,NA
"lncRNA:CR44262",1.35969745471904,3.62088655503583,3.92573379607865,0.92234643078771,0.356347902444815,NA
"asRNA:CR45189",6.70220408342729,0.0753733765248938,0.819796678764612,0.0919415490173457,0.926744479903045,0.972123963946804
"lncRNA:CR44953",81.2154143837493,0.595587631668815,0.626971407165542,0.949943848893191,0.342140784772376,0.6514292837121
"lncRNA:CR45567",4.72923057081095,0.934603340330985,1.28965636554462,0.724691759216267,0.468641151821022,NA
"lncRNA:CR45566",8.46577363642634,-1.63143428463381,0.79753263553302,-2.04560191263329,0.0407955531417223,0.193836110241842
"lncRNA:CR44289",1.07942514141966,-3.66769755155434,3.17826897881522,-1.153992181279,0.248503374452419,NA
"lncRNA:CR45226",0,NA,NA,NA,NA,NA
"asRNA:CR44321",21.4586382081982,-0.153291434635934,0.570860013191272,-0.26852718896703,0.788293549334985,0.915503437903522
"lncRNA:CR44320",4.17142803310626,3.56176194105707,1.4395629517947,2.47419672520513,0.0133536142763793,NA
"lncRNA:CR44948",3.03529590845677,2.95518000355369,1.4784494730723,1.99883733423278,0.0456259568473189,NA
"asRNA:CR45214",2.71693288783251,2.6225069527175,2.13863680561098,1.22625166921144,0.220103982801969,NA
"lncRNA:CR45650",2.28607981995047,-0.738416598542052,1.87309117705008,-0.394223520771145,0.693416021830267,NA
"lncRNA:CR45662",1.94525485709592,1.57958052160927,1.58776403096271,0.994845890702997,0.31981122287034,NA
"lncRNA:CR45217",15.7221194634658,0.551579187237428,0.533860322785276,1.03319007556079,0.301514956375386,0.609899659739641
"lncRNA:CR44322",0.246151722322628,-0.420276115679078,4.06918641613179,-0.10328259084247,0.917738692216084,NA
"lncRNA:CR45647",8.00715046703823,-0.841123122894837,0.688789704810032,-1.22116099735669,0.22202506833169,0.524814699487554
"lncRNA:CR45646",1.18691956195948,-0.742532117067597,2.14875133841306,-0.345564469835764,0.729670051671864,NA
"lncRNA:CR45645",4.04714840175227,0.239065261448328,1.24719288874246,0.19168266882068,0.847990782523476,NA
"lncRNA:CR45644",1.23269053503332,1.64098394969075,1.94677725675579,0.842923320578219,0.39927132998344,NA
"lncRNA:CR45632",0.541544935950834,-0.350852878111182,2.46745595031314,-0.142192154663047,0.886928228497558,NA
"lncRNA:CR44265",6.43516990806549,0.791199968272327,0.852707072111595,0.927868425335144,0.35347582472071,0.662875595774252
"lncRNA:CR44178",26.2332203846962,-0.615903190658335,0.500258766268404,-1.23116921119156,0.218259584139528,0.519686135801289
"asRNA:CR45024",1.78554694899013,2.51451126196516,2.39198084543264,1.05122550072526,0.293155033788392,NA
"lncRNA:CR45048",37.4092671239908,0.152640382473762,0.346021107765351,0.441130263582859,0.659118695277673,0.864429676721818
"lncRNA:CR45047",3.55814499328562,-0.717533200048172,1.25672323519993,-0.570955624874735,0.568029723426558,NA
"asRNA:CR45028",0.61942430478798,-2.74875755863948,3.63614562244504,-0.755953650940729,0.449676985230242,NA
"lncRNA:CR43196",1957.52609953516,-0.972962203285333,0.30199436971734,-3.22178921479895,0.00127392818072026,0.0173135632522607
"lncRNA:CR45045",1445.80762417563,2.43321278203937,0.899870938672358,2.70395750931712,0.00685190503190708,0.0581313425903379
